74569	い	1
59235	う	1
58709	ん	1
54550	〓	1
48069	し	1
39537	か	1
38367	の	1
37984	と	1
33853	た	1
28750	、	1
27725	て	1
27579	く	1
27521	な	1
27389	に	1
26011	き	1
24910	は	1
24434	こ	1
24368	る	1
23560	。	1
23074	が	1
21789	で	1
21418	っ	1
21319	ょ	1
21000	す	1
19322	ま	1
18329	じ	1
17904	り	1
17888	も	1
16984	つ	1
16377	お	1
16103	ら	1
15893	を	1
15693	さ	1
15658	あ	1
14594	れ	1
13722	だ	1
13140	ち	1
12513	せ	1
11952	け	1
11000	ー	1
10960	よ	1
10627	ど	1
10151	ゅ	1
9878	そ	1
9211	え	1
8665	わ	1
7980	み	1
7755	め	1
7729	ひ	1
6925	ば	1
6876	や	1
6643	ろ	1
6605	ほ	1
5639	ふ	1
5322	ゃ	1
5232	ぶ	1
4595	ね	1
4406	ご	1
4353	ぎ	1
4068	げ	1
3725	む	1
3173	ず	1
3029	び	1
2565	ざ	1
2422	ぐ	1
2360	ぜ	1
2323	へ	1
2275	べ	1
2174	ゆ	1
1974	ぼ	1
1949	ぷ	1
1793	ぞ	1
1747	ぱ	1
1201	ぃ	1
1193	ぽ	1
806	ぇ	1
781	づ	1
732	ぴ	1
681	ぁ	1
575	ぬ	1
482	ぺ	1
163	ぉ	1
83	ヴ	1
78	ぢ	1
36	ぅ	1
